"project_funding","appropriation_detail","grantee_name","project_name","project_type","app_commuting_zone","project_description","ktid","cities"
500000,"ARPA - Build Back Better Regional Challenge - Strategic Development Grant","Lamar State College-Port Arthur","Addressing the Nursing Shortage in Southeast and Deep East Texas","SDG","Beaumont, TX","This EDA investment supports the Southeast and Deep East Texas coalition, led by Lamar State College - Port Arthur, with their proposal to address the nursing shortage within its health care services cluster. If provided an implementation grant, the coalition proposes to enhance specific facilities to allow for advanced nursing education and open others for nursing clinical placements for the first time. To increase the volume of student graduates, the participating colleges and universities in the coalition plan to support the cluster by completely reworking the system by which they recruit incoming nursing students, including creating new inroads into communities of lower socioeconomic standing, communities of color, and rural communities to increase the number of student applicants. The proposed infrastructure projects would also increase local capacity to train these students. Finally, a proposed technical assistance program for nursing entrepreneurship would provide guidance for nurses to invest in businesses of their own, designed to bring a robust system of small business and innovation to support the local industry.","Health & Medicine","Jefferson County, TX; Nome, TX; Rose Hill Acres, TX; Central Gardens, TX; Fannett, TX; Port Arthur, TX; Beauxart Gardens, TX; Beaumont, TX; Stowell, TX; Bevil Oaks, TX; Winnie, TX; China, TX; Groves, TX; Hamshire, TX; Nederland, TX; Taylor Landing, TX; Port Neches, TX"
455500,"ARPA - Build Back Better Regional Challenge - Strategic Development Grant","Las Vegas Global Economic Alliance","Southern Nevada Regional Growth Cluster","SDG","Las Vegas, NV","This EDA investment supports the Las Vegas Global Economic Alliance coalition, with their proposal to support a general and advanced manufacturing industry cluster to refine strategic economic recovery planning, create jobs, catalyze wage growth, and increase the region’s economic output. To support this effort, the coalition, which includes city governments and local universities, proposes four complementary, collaborative and aligned construction and non-construction projects: 1) expanding a water line to support manufacturing; 2) developing a manufacturing area in the region; 3) providing education, entrepreneurship and business acceleration, and other support for advanced manufacturing; and 4) developing sites for advanced manufacturing businesses.","Advanced Manufacturing & Heavy Industry","Clark County, NV; North Las Vegas, NV; Cal-Nev-Ari, NV; Searchlight, NV; Henderson, NV; Mesquite, NV; Indian Springs, NV; Sandy Valley, NV; Las Vegas, NV; Goodsprings, NV; Moapa Town, NV; Mount Charleston, NV; Nellis AFB, NV; Paradise, NV; Winchester, NV; Moapa Valley, NV; Scenic, AZ; Enterprise, NV; Sunrise Manor, NV; Blue Diamond, NV; Laughlin, NV; Pahrump, NV; Whitney, NV; Boulder City, NV; Bullhead City, AZ; Nelson, NV; Spring Valley, NV; Summerlin South, NV; Bunkerville, NV"
500000,"ARPA - Build Back Better Regional Challenge - Strategic Development Grant","Los Angeles County Economic Development Corporation","GOODS for GME","SDG","Los Angeles, CA","This EDA investment supports the coalition, led by the Los Angeles County Economic Development Corporation, with their proposal to increase efficiency in the goods movement ecosystem of Los Angeles while investing in technology development for the region's blue and green economies. This project seeks to revitalize and develop Los Angeles’ port capabilities in a more humanitarian and environmentally responsible way. If provided an implementation grant, the coalition proposes to support this cluster by building an innovation center, widening access to program assistance technologies at ports, transforming last-mile fulfillment, and increasing entrepreneurship and workforce development programs aimed at Los Angeles’ port and logistics workers. Expanding opportunity in Los Angeles’ good’s movement cluster will not only provide economic competitiveness across the region but opportunity for dozens of underserved communities within the region.","Transportation, Logistics, & Construction","Los Angeles County, CA; Palmdale, CA; Los Alamitos, CA; Sierra Madre, CA; Duarte, CA; Los Angeles, CA; Manhattan Beach, CA; Lancaster, CA; Littlerock, CA; Oak Park, CA; East Rancho Dominguez, CA; Alondra Park, CA; Montclair, CA; San Fernando, CA; Industry, CA; Pasadena, CA; Cudahy, CA; South Pasadena, CA; Rose Hills, CA; San Pasqual, CA; North El Monte, CA; Thousand Oaks, CA; Pepperdine University, CA; Long Beach, CA; San Antonio Heights, CA; Willowbrook, CA; La Puente, CA; Pico Rivera, CA; Hermosa Beach, CA; Rancho Palos Verdes, CA; Culver City, CA; Huntington Park, CA; West Carson, CA; La Mirada, CA; Artesia, CA; La Cañada Flintridge, CA; Hawaiian Gardens, CA; Santa Fe Springs, CA; San Gabriel, CA; Cypress, CA; Arcadia, CA; El Monte, CA; Downey, CA; Whittier, CA; Buena Park, CA; Hidden Hills, CA; Redondo Beach, CA; Malibu, CA; Baldwin Park, CA; Fullerton, CA; Hawthorne, CA; Santa Monica, CA; La Habra, CA; Compton, CA; Santa Clarita, CA; Alhambra, CA; Temple City, CA; Gardena, CA; Lynwood, CA; Rolling Hills Estates, CA; Paramount, CA; Maywood, CA; La Verne, CA; Lomita, CA; Rolling Hills, CA; Burbank, CA; Carson, CA; Lennox, CA; Hacienda Heights, CA; Charter Oak, CA; Stevenson Ranch, CA; La Crescenta-Montrose, CA; View Park-Windsor Hills, CA; Rowland Heights, CA; Piñon Hills, CA; Citrus, CA; Altadena, CA; Marina Rey, CA; Claremont, CA; Agoura Hills, CA; Diamond Bar, CA; Avalon, CA; Chino Hills, CA; Bellflower, CA; Westmont, CA; Lake Los Angeles, CA; West Athens, CA; Valinda, CA; Walnut Park, CA; Acton, CA; East Whittier, CA; Castaic, CA; South Whittier, CA; Chino, CA; Upland, CA; Walnut, CA; West Hollywood, CA; Torrance, CA; Bell Gardens, CA; Bradbury, CA; Commerce, CA; Simi Valley, CA; Inglewood, CA; Azusa, CA; San Marino, CA; Seal Beach, CA; El Segundo, CA; Vernon, CA; Glendale, CA; San Dimas, CA; South Gate, CA; Beverly Hills, CA; Montebello, CA; Irwindale, CA; Agua Dulce, CA; Lake Hughes, CA; Leona Valley, CA; South Monrovia Island, CA; Quartz Hill, CA; Bell Canyon, CA; Florence-Graham, CA; South San Jose Hills, CA; Mayflower Village, CA; Vincent, CA; Rosamond, CA; East Los Angeles, CA; Hasley Canyon, CA; Val Verde, CA; Avocado Heights, CA; East Pasadena, CA; West Rancho Dominguez, CA; West Puente Valley, CA; Palos Verdes Estates, CA; Glendora, CA; Bell, CA; Brea, CA; Rosemead, CA; Calabasas, CA; West Covina, CA; Signal Hill, CA; Cerritos, CA; La Palma, CA; Norwalk, CA; Westlake Village, CA; Covina, CA; La Habra Heights, CA; Lebec, CA; Lakewood, CA; Pomona, CA; Ladera Heights, CA; East San Gabriel, CA; West Whittier-Los Nietos, CA; Monterey Park, CA; Desert View Highlands, CA; Topanga, CA; Elizabeth Lake, CA; Wrightwood, CA; Sun Village, CA; Green Valley, CA; Monrovia, CA; Lawndale, CA; South El Monte, CA; Del Aire, CA; South San Gabriel, CA"
500000,"ARPA - Build Back Better Regional Challenge - Strategic Development Grant","Louisville Healthcare Ceo Council, Inc.","The Kentucky Digital Health Tech & Artificial Intelligence Innovation Coalition","SDG","Louisville, KY","This EDA investment supports the coalition, led by the Louisville Healthcare CEO Council, with their proposal to establish the Louisville region as a national hub for digital healthcare by broadening the region's artificial intelligence (AI) talent pipeline and supporting AI adoption in the healthcare sector. If provided an implementation grant, the coalition proposes to invest in: an innovation and learning center; workforce development with wraparound support; entrepreneurship, innovation, and commercialization programs; and a Health Tech Applied Research Center, Tech Innovation Center, and Tech Learning Center as the region currently has no physical home for its existing tech training and incubation programs.","Health & Medicine; Other Information Technology","Jefferson County, KY; Langdon Place, KY; Green Spring, KY; Glenview Hills, KY; West Point, KY; Glenview Manor, KY; Moorland, KY; Murray Hill, KY; Fincastle, KY; Hickory Hill, KY; Strathmoor Village, KY; Goose Creek, KY; Hollow Creek, KY; Seneca Gardens, KY; Norbourne Estates, KY; West Buechel, KY; Poplar Hills, KY; Mount Washington, KY; Wellington, KY; Manor Creek, KY; Parkway Village, KY; Spring Mill, KY; Meadowview Estates, KY; Worthington Hills, KY; Hillview, KY; Broeck Pointe, KY; Old Brownsboro Place, KY; Maryhill Estates, KY; Mockingbird Valley, KY; Coldstream, KY; Druid Hills, KY; Louisville/Jefferson County, KY; Sycamore, KY; Meadow Vale, KY; Forest Hills, KY; Bellewood, KY; Kingsley, KY; Bellemeade, KY; St. Regis Park, KY; Crossgate, KY; Norwood, KY; Woodland Hills, KY; Riverwood, KY; Audubon Park, KY; Lynnview, KY; Middletown, KY; Douglass Hills, KY; Wildwood, KY; Strathmoor Manor, KY; South Park View, KY; Bancroft, KY; Richlawn, KY; Prospect, KY; Cambridge, KY; St. Matthews, KY; Brownsboro Farm, KY; New Albany, IN; Utica, IN; Indian Hills, KY; Rolling Fields, KY; Plantation, KY; Thornhill, KY; Brownsboro Village, KY; Glenview, KY; Brooks, KY; Heritage Creek, KY; Westwood, KY; Graymoor-Devondale, KY; Clarksville, IN; Jeffersonville, IN; Creekside, KY; Lyndon, KY; Windy Hills, KY; Shively, KY; Hills Dales, KY; Houston Acres, KY; Hurstbourne Acres, KY; Beechwood Village, KY; Spring Valley, KY; Blue Ridge Manor, KY; Jeffersontown, KY; Hollyvilla, KY; Meadowbrook Farm, KY; Woodlawn Park, KY; Hurstbourne, KY; Anchorage, KY; Rolling Hills, KY; Northfield, KY; Watterson Park, KY; Ten Broeck, KY; Barbourmeade, KY; Briarwood, KY; Lincolnshire, KY"
500000,"ARPA - Build Back Better Regional Challenge - Strategic Development Grant","Manufacturing Advocacy and Growth Network","Northeast Ohio's Advanced Manufacturing Cluster","SDG","Cleveland, OH","This EDA investment supports the coalition, led by MAGNET: Manufacturing Advocacy and Growth Network, with their proposal to grow an equitable smart manufacturing and advanced materials cluster in Northeast Ohio. The cluster encompasses an estimated 700 firms, 45,000 workers, and $12 billion Gross Regional Product (GRP). The coalition's proposed projects aim to bring innovation to the region, especially around smart and advanced technologies, while encouraging innovation and workforce development. If provided an implementation grant, the coalition proposes to execute component projects that expand the applications of cluster technologies into specialized market segments and fortify and improve the region's supply chain through entrepreneurship and capitalization, infrastructure, and workforce pillars.","Advanced Manufacturing & Heavy Industry","Cuyahoga County, OH; Chesterland, OH; Avon, OH; Bedford Heights, OH; Chagrin Falls, OH; Cleveland, OH; Glenwillow, OH; Mayfield Heights, OH; Newburgh Heights, OH; University Heights, OH; Northfield, OH; North Royalton, OH; Solon, OH; Wickliffe, OH; Highland Heights, OH; Woodmere, OH; Brook Park, OH; Berea, OH; Euclid, OH; Kirtland, OH; Willoughby Hills, OH; Warrensville Heights, OH; Parma, OH; Bay Village, OH; Bedford, OH; Bentleyville, OH; Bratenahl, OH; Cleveland Heights, OH; Cuyahoga Heights, OH; Highland Hills, OH; Hunting Valley, OH; Lakewood, OH; Middleburg Heights, OH; North Randall, OH; Pepper Pike, OH; Shaker Heights, OH; Strongsville, OH; Walton Hills, OH; Westlake, OH; Aurora, OH; Brooklyn Heights, OH; Reminderville, OH; Twinsburg, OH; Gates Mills, OH; Brooklyn, OH; Maple Heights, OH; South Russell, OH; Beachwood, OH; Brecksville, OH; Richfield, OH; Bainbridge, OH; Richmond Heights, OH; Independence, OH; Avon Lake, OH; Macedonia, OH; Seven Hills, OH; East Cleveland, OH; North Ridgeville, OH; Willowick, OH; Moreland Hills, OH; Rocky River, OH; South Euclid, OH; Valley View, OH; Brunswick, OH; Garfield Heights, OH; Linndale, OH; Oakwood, OH; Fairview Park, OH; Orange, OH; Parma Heights, OH; Mayfield, OH; Broadview Heights, OH; Olmsted Falls, OH; North Olmsted, OH; Lyndhurst, OH"
500000,"ARPA - Build Back Better Regional Challenge - Strategic Development Grant","mHUB","Illinois Clean Tech Economy Coalition","SDG","Chicago, IL","This EDA investment supports the 2025 Clean Tech Economy Coalition (CTEC), led by mHUB in Chicago, with their proposal to accelerate the development of a new clean tech industry cluster in the Midwest. The 19-member coalition aims to support the development of technologies for local applications and trade, rapid rollout of critical infrastructure, and coordinated workforce development to support an end-to-end regional supply chain. If provided an implementation grant, coalition will pursue six independent-but-related clean tech projects, ranging from electrical vehicle testing and infrastructure to innovation and workforce training opportunities on Chicago’s South Side to increase access and opportunity in the clean economy for the region’s black and brown communities.  The employers in bio-innovation were founded there decades ago and grew to be global leaders, including Cargill, the Mayo Clinic, General Mills, Ecolab, Medtronic, and Land O’Lakes. If provided an implementation grant, the coalition proposes to support the next generation of bio-innovation by investing in BIPOC workers, entrepreneurs, and existing businesses to not only improve upon existing regional assets but overcome historical barriers to employment in one of the region’s fastest growing sectors.","Advanced Mobility & Electrification","Cook County, IL; Bartlett, IL; Orland Park, IL; Forest Park, IL; Hinsdale, IL; La Grange, IL; Orland Hills, IL; Frankfort, IL; Burnham, IL; Chicago, IL; Elmwood Park, IL; Golf, IL; Hickory Hills, IL; Lincolnwood, IL; Palos Hills, IL; South Chicago Heights, IL; Woodridge, IL; Hoffman Estates, IL; Country Club Hills, IL; Posen, IL; Summit, IL; Lemont, IL; Elgin, IL; East Hazel Crest, IL; Phoenix, IL; Justice, IL; Calumet City, IL; Wilmette, IL; Homer Glen, IL; Hodgkins, IL; Dixmoor, IL; Oak Forest, IL; Lynwood, IL; Stone Park, IL; Palos Park, IL; Markham, IL; Midlothian, IL; Sauk Village, IL; Elmhurst, IL; Northbrook, IL; Schaumburg, IL; Deer Park, IL; Rosemont, IL; McCook, IL; Alsip, IL; Highland Park, IL; Deerfield, IL; Elk Grove Village, IL; Berkeley, IL; Hometown, IL; Park Ridge, IL; Arlington Heights, IL; Olympia Fields, IL; Glencoe, IL; Franklin Park, IL; Bridgeview, IL; Skokie, IL; Burbank, IL; Kenilworth, IL; South Barrington, IL; Plum Valley, IL; Crete, IL; Long Grove, IL; Riverwoods, IL; Romeoville, IL; Tinley Park, IL; University Park, IL; Munster, IN; Rolling Meadows, IL; Schiller Park, IL; Streamwood, IL; Thornton, IL; Western Springs, IL; Winnetka, IL; Bensenville, IL; Berwyn, IL; Blue Island, IL; Broadview, IL; Calumet Park, IL; Chicago Ridge, IL; Countryside, IL; Crestwood, IL; Des Plaines, IL; Dolton, IL; Bedford Park, IL; Ford Heights, IL; Forest View, IL; Glenview, IL; Glenwood, IL; Bellwood, IL; Hanover Park, IL; Homewood, IL; La Grange Park, IL; Maywood, IL; Merrionette Park, IL; Norridge, IL; Wood Dale, IL; Northfield, IL; Oak Brook, IL; Oak Lawn, IL; Palos Heights, IL; River Forest, IL; Riverside, IL; Itasca, IL; Barrington Hills, IL; East Dundee, IL; Frankfort Square, IL; Robbins, IL; North Riverside, IL; Richton Park, IL; Cicero, IL; Chicago Heights, IL; Oak Park, IL; Evergreen Park, IL; Riverdale, IL; Dyer, IN; Harvey, IL; Hillside, IL; Inverness, IL; Lyons, IL; Northlake, IL; Palatine, IL; River Grove, IL; Roselle, IL; South Holland, IL; Willow Springs, IL; Matteson, IL; Wheeling, IL; Barrington, IL; Mount Prospect, IL; Worth, IL; Westchester, IL; Hammond, IN; Niles, IL; Lansing, IL; Brookfield, IL; Evanston, IL; Indian Head Park, IL; Prospect Heights, IL; Park Forest, IL; Burr Ridge, IL; Hazel Crest, IL; Melrose Park, IL; Stickney, IL; Flossmoor, IL; Buffalo Grove, IL; Harwood Heights, IL; Steger, IL; Morton Grove, IL"
500000,"ARPA - Build Back Better Regional Challenge - Strategic Development Grant","Minneapolis Saint Paul Regional Economic Development Partnership","The Bold North BioInnovation Cluster","SDG","Minneapolis, MN","This EDA investment supports the Bold North BioInnovation Cluster, led by the Minneapolis Saint Paul Regional Economic Development Partnership, with their proposal to make Minnesota the problem-solving capital of the New Economy through a bio-innovation cluster. Many of the largest employers in bio-innovation were founded there decades ago and grew to be global leaders, including Cargill, the Mayo Clinic, General Mills, Ecolab, Medtronic, and Land O’Lakes. If provided an implementation grant, the coalition proposes to support the next generation of bio-innovation by investing in BIPOC workers, entrepreneurs, and existing businesses to not only improve upon existing regional assets but overcome historical barriers to employment in one of the region’s fastest growing sectors.","Life Sciences Innovation & Biotechnology","Ramsey County, MN; Lauderdale, MN; Falcon Heights, MN; St. Anthony, MN; Circle Pines, MN; Arden Hills, MN; Lilydale, MN; Little Canada, MN; Columbia Heights, MN; Shoreview, MN; Spring Lake Park, MN; Fridley, MN; North Oaks, MN; Maplewood, MN; Mahtomedi, MN; Hugo, MN; Lino Lakes, MN; Dellwood, MN; Woodbury, MN; Gem Lake, MN; St. Paul, MN; Vadnais Heights, MN; Mendota, MN; Grant, MN; South St. Paul, MN; Birchwood Village, MN; Newport, MN; White Bear Lake, MN; New Brighton, MN; Blaine, MN; West St. Paul, MN; North St. Paul, MN; Oakdale, MN; Mounds View, MN; Roseville, MN; Mendota Heights, MN; Minneapolis, MN"
499983,"ARPA - Build Back Better Regional Challenge - Strategic Development Grant","New Orleans Bioinnovation Center, Inc.","Gulf Coast Health Sciences Corridor","SDG","Gretna, LA","This EDA investment supports the Gulf Coast Health Sciences Corridor, led by the New Orleans BioInnovation Center, which includes the cities of New Orleans and Baton Rouge, as well as the rural and suburban communities between them. The coalition aims to transform the region into a national leader in health sciences with a focus on addressing obesity and chronic disease by: 1.) creating economic opportunity through specialized workforce development with a focus on women, residents in rural areas and people of color, and 2.) strengthening the regions' research development and commercialization pipeline through infrastructure and collaboration to leverage industry expertise and promote startup creation and investment. The coalition believes that a strategic investment in South Louisiana's health services industry cluster will help to create a resilient and equitable regional economy and reduce the state's health disparities.","Health & Medicine","Orleans Parish, LA; New Orleans, LA; Meraux, LA; Poydras, LA; Jefferson, LA; Arabi, LA; Harvey, LA; Terrytown, LA; Violet, LA; Bridge City, LA; Belle Chasse, LA; Chalmette, LA; Gretna, LA; Westwego, LA; Metairie, LA; Marrero, LA"
6191258,"ARPA - Build Back Better Regional Challenge - Implementation Award","North Carolina Biotechnology Center","Accelerate NC - Life Sciences Manufacturing Coalition","IMP","Raleigh, NC","This EDA investment supports the Accelerate NC - Life Sciences Manufacturing coalition, led by the North Carolina Biotechnology Center, with strengthening the state’s life sciences sector by investing in a more robust pipeline of biotech talent across the state and expanding those opportunities to underserved and historically excluded communities.  The coalition will expand entry-level biotechnology training programs at ten North Carolina community colleges and establishes university-based, life sciences training hubs at seven Minority Serving Institutions across the state.  The coalition and its private sector partners will also create ambassador and mentorship programs to break down barriers to careers in the biotech industry, prioritizing equity alongside economic growth.  Once implemented, the investment will help develop and strengthen regional industry clusters – all while embracing economic equity, creating good-paying jobs, and enhancing U.S. competitiveness globally.","Life Sciences Innovation & Biotechnology","Durham County, NC; Carolina Meadows, NC; Morrisville, NC; Cary, NC; Raleigh, NC; Durham, NC; Rougemont, NC; Gorman, NC; Chapel Hill, NC"
2386522,"ARPA - Build Back Better Regional Challenge - Implementation Award","North Carolina Biotechnology Center","Accelerate NC - Life Sciences Manufacturing Coalition","IMP","Raleigh, NC","This EDA investment supports the Accelerate NC - Life Sciences Manufacturing coalition, led by the North Carolina Biotechnology Center, with strengthening the state’s life sciences sector by investing in a more robust pipeline of biotech talent across the state and expanding those opportunities to underserved and historically excluded communities.  The coalition will expand entry-level biotechnology training programs at ten North Carolina community colleges and establishes university-based, life sciences training hubs at seven Minority Serving Institutions across the state.  The coalition and its private sector partners will also create ambassador and mentorship programs to break down barriers to careers in the biotech industry, prioritizing equity alongside economic growth.  Once implemented, the investment will help develop and strengthen regional industry clusters – all while embracing economic equity, creating good-paying jobs, and enhancing U.S. competitiveness globally.","Life Sciences Innovation & Biotechnology","Durham County, NC; Carolina Meadows, NC; Morrisville, NC; Cary, NC; Raleigh, NC; Durham, NC; Rougemont, NC; Gorman, NC; Chapel Hill, NC"
16422220,"ARPA - Build Back Better Regional Challenge - Implementation Award","North Carolina Biotechnology Center","Accelerate NC - Life Sciences Manufacturing Coalition","IMP","Raleigh, NC","This EDA investment supports the Accelerate NC - Life Sciences Manufacturing coalition, led by the North Carolina Biotechnology Center, with strengthening the state’s life sciences sector by investing in a more robust pipeline of biotech talent across the state and expanding those opportunities to underserved and historically excluded communities.  The coalition will expand entry-level biotechnology training programs at ten North Carolina community colleges and establishes university-based, life sciences training hubs at seven Minority Serving Institutions across the state.  The coalition and its private sector partners will also create ambassador and mentorship programs to break down barriers to careers in the biotech industry, prioritizing equity alongside economic growth.  Once implemented, the investment will help develop and strengthen regional industry clusters – all while embracing economic equity, creating good-paying jobs, and enhancing U.S. competitiveness globally.","Life Sciences Innovation & Biotechnology","Wake County, NC; Knightdale, NC; Morrisville, NC; Wake Forest, NC; Clayton, NC; Rolesville, NC; Cary, NC; Raleigh, NC; Apex, NC; Holly Springs, NC; Angier, NC; Durham, NC; Fuquay-Varina, NC; Wendell, NC; Zebulon, NC; Garner, NC"
500000,"ARPA - Build Back Better Regional Challenge - Strategic Development Grant","North Carolina Biotechnology Center","Accelerate NC - Life Sciences Manufacturing Coalition","SDG","Raleigh, NC","This EDA investment supports the coalition, led by the North Carolina Biotechnology Center, with their proposal to accelerate life science manufacturing to create economic resilience and promote equity in distressed North Carolina communities. The coalition proposes to create a national life science manufacturing resource, advance production technology, and address vulnerabilities in the region's supply chain and manufacturing capacity that were highlighted by the coronavirus pandemic. If provided an implementation grant, the coalition proposes to bring together four universities in a unique product development and manufacturing partnership; create training hubs in new areas by uniting existing efforts of community colleges and universities, including Historically Black Colleges and Universities; proactively prepare sites suitable for life science facilities in distressed areas; and leverage current and planned community programs to support those transitioning to these jobs.","Life Sciences Innovation & Biotechnology","Durham County, NC; Carolina Meadows, NC; Morrisville, NC; Cary, NC; Raleigh, NC; Durham, NC; Rougemont, NC; Gorman, NC; Chapel Hill, NC"
499929,"ARPA - Build Back Better Regional Challenge - Strategic Development Grant","Northeastern University","BioConnect New England","SDG","Middlesex County, MA","This EDA investment supports the multi-state coalition across Maine, Massachusetts, and Rhode Island, led by Northeastern University, with their proposal to connect hubs throughout New England to support a biomanufacturing cluster. The coalition would support existing and new biomanufacturing infrastructure as a pathway to the good jobs of tomorrow for underserved and distressed regions throughout the Northeast. If provided an implementation grant, the coalition proposes to support biomanufacturing of monoclonal antibodies and other emerging areas such as cell/gene RNA/DNA therapeutics that represent global strengths of the region. To ensure a new generation of workers can benefit from the region’s biomanufacturing cluster, the coalition proposes a number of interventions to provide an on-ramp into the biotechnology sector for individuals without a four-year college degree to secure a stable, high-quality biomanufacturing job.","Life Sciences Innovation & Biotechnology","Suffolk County, MA; Melrose, MA; Boston, MA; Winthrop Town, MA; Cambridge, MA; Brookline, MA; Chelsea, MA; Lynn, MA; Quincy, MA; Everett, MA; Malden, MA; Somerville, MA; Watertown Town, MA; Saugus, MA; Dedham, MA; Milton, MA; Needham, MA; Revere, MA; Newton, MA"
3000000,"ARPA - Build Back Better Regional Challenge - Implementation Award","Oklahoma City Economic Development Foundation","Oklahoma Biotech Innovation Cluster","IMP","Oklahoma City, OK","This EDA investment supports the Oklahoma Biotech Innovation Cluster, led by the Oklahoma City Economic Development Foundation, with expanding the biotechnology industry in the Oklahoma City region by bolstering domestic resiliency within the biopharmaceutical supply chain.  Coalition projects include a program designed to address the cluster’s challenge to commercialization, expansion of the region’s clinical trials center, biotech startup support, and a bioprocessing core facility and workforce program to prepare the region for biomanufacturing at scale.  Once implemented, the investment will help develop and strengthen regional industry clusters – all while embracing economic equity, creating good-paying jobs, and enhancing U.S. competitiveness globally.","Life Sciences Innovation & Biotechnology","Oklahoma County, OK; Woodlawn Park, OK; Smith Village, OK; Valley Brook, OK; Forest Park, OK; Oklahoma City, OK; The Village, OK; Lake Aluma, OK; Arcadia, OK; Piedmont, OK; Bethany, OK; Mustang, OK; Edmond, OK; Jones, OK; Luther, OK; Midwest City, OK; Spencer, OK; Warr Acres, OK; McLoud, OK; Del City, OK; Harrah, OK; Nicoma Park, OK; Guthrie, OK; Choctaw, OK; Nichols Hills, OK"
7150000,"ARPA - Build Back Better Regional Challenge - Implementation Award","Oklahoma City Economic Development Foundation","Oklahoma Biotech Innovation Cluster","IMP","Oklahoma City, OK","This EDA investment supports the Oklahoma Biotech Innovation Cluster, led by the Oklahoma City Economic Development Foundation, with expanding the biotechnology industry in the Oklahoma City region by bolstering domestic resiliency within the biopharmaceutical supply chain.  Coalition projects include a program designed to address the cluster’s challenge to commercialization, expansion of the region’s clinical trials center, biotech startup support, and a bioprocessing core facility and workforce program to prepare the region for biomanufacturing at scale.  Once implemented, the investment will help develop and strengthen regional industry clusters – all while embracing economic equity, creating good-paying jobs, and enhancing U.S. competitiveness globally.","Life Sciences Innovation & Biotechnology","Oklahoma County, OK; Woodlawn Park, OK; Smith Village, OK; Valley Brook, OK; Forest Park, OK; Oklahoma City, OK; The Village, OK; Lake Aluma, OK; Arcadia, OK; Piedmont, OK; Bethany, OK; Mustang, OK; Edmond, OK; Jones, OK; Luther, OK; Midwest City, OK; Spencer, OK; Warr Acres, OK; McLoud, OK; Del City, OK; Harrah, OK; Nicoma Park, OK; Guthrie, OK; Choctaw, OK; Nichols Hills, OK"
7000000,"ARPA - Build Back Better Regional Challenge - Implementation Award","Oklahoma City Economic Development Foundation","Oklahoma Biotech Innovation Cluster","IMP","Oklahoma City, OK","This EDA investment supports the Oklahoma Biotech Innovation Cluster, led by the Oklahoma City Economic Development Foundation, with expanding the biotechnology industry in the Oklahoma City region by bolstering domestic resiliency within the biopharmaceutical supply chain.  Coalition projects include a program designed to address the cluster’s challenge to commercialization, expansion of the region’s clinical trials center, biotech startup support, and a bioprocessing core facility and workforce program to prepare the region for biomanufacturing at scale.  Once implemented, the investment will help develop and strengthen regional industry clusters – all while embracing economic equity, creating good-paying jobs, and enhancing U.S. competitiveness globally.","Life Sciences Innovation & Biotechnology","Cleveland County, OK; Oklahoma City, OK; Etowah, OK; Purcell, OK; Tribbey, OK; Slaughterville, OK; Lexington, OK; Moore, OK; Mustang, OK; Noble, OK; Norman, OK; McLoud, OK; Pink, OK; Goldsby, OK; Bethel Acres, OK; Newcastle, OK"
7000000,"ARPA - Build Back Better Regional Challenge - Implementation Award","Oklahoma City Economic Development Foundation","Oklahoma Biotech Innovation Cluster","IMP","Oklahoma City, OK","This EDA investment supports the Oklahoma Biotech Innovation Cluster, led by the Oklahoma City Economic Development Foundation, with expanding the biotechnology industry in the Oklahoma City region by bolstering domestic resiliency within the biopharmaceutical supply chain.  Coalition projects include a program designed to address the cluster’s challenge to commercialization, expansion of the region’s clinical trials center, biotech startup support, and a bioprocessing core facility and workforce program to prepare the region for biomanufacturing at scale.  Once implemented, the investment will help develop and strengthen regional industry clusters – all while embracing economic equity, creating good-paying jobs, and enhancing U.S. competitiveness globally.","Life Sciences Innovation & Biotechnology","Cleveland County, OK; Oklahoma City, OK; Etowah, OK; Purcell, OK; Tribbey, OK; Slaughterville, OK; Lexington, OK; Moore, OK; Mustang, OK; Noble, OK; Norman, OK; McLoud, OK; Pink, OK; Goldsby, OK; Bethel Acres, OK; Newcastle, OK"
3600000,"ARPA - Build Back Better Regional Challenge - Implementation Award","Oklahoma City Economic Development Foundation","Oklahoma Biotech Innovation Cluster","IMP","Oklahoma City, OK","This EDA investment supports the Oklahoma Biotech Innovation Cluster, led by the Oklahoma City Economic Development Foundation, with expanding the biotechnology industry in the Oklahoma City region by bolstering domestic resiliency within the biopharmaceutical supply chain.  Coalition projects include a program designed to address the cluster’s challenge to commercialization, expansion of the region’s clinical trials center, biotech startup support, and a bioprocessing core facility and workforce program to prepare the region for biomanufacturing at scale.  Once implemented, the investment will help develop and strengthen regional industry clusters – all while embracing economic equity, creating good-paying jobs, and enhancing U.S. competitiveness globally.","Life Sciences Innovation & Biotechnology","Oklahoma County, OK; Woodlawn Park, OK; Smith Village, OK; Valley Brook, OK; Forest Park, OK; Oklahoma City, OK; The Village, OK; Lake Aluma, OK; Arcadia, OK; Piedmont, OK; Bethany, OK; Mustang, OK; Edmond, OK; Jones, OK; Luther, OK; Midwest City, OK; Spencer, OK; Warr Acres, OK; McLoud, OK; Del City, OK; Harrah, OK; Nicoma Park, OK; Guthrie, OK; Choctaw, OK; Nichols Hills, OK"
